form_position,item_id,form_version,domain_code,domain_name,subarea_code,format,cognitive_level,scenario_id,scenario_order,scenario_text,exhibit_asset,stem,option_a,option_b,option_c,option_d,correct_option,rationale_correct,rationale_a,rationale_b,rationale_c,rationale_d,source_ref,study_guide_slug,shuffle_options,calculator_needed,status,author,reviewed_by,last_updated
11,D5-04,DIAG-1.0,5,Plan Implementation,5.6 Drafting action steps and assigning responsibility,single,application,S-MIDTOWN,4,"The adopted Midtown Plan calls for mixed-use redevelopment along a transit corridor. A developer controls a 3.2-acre site in the MU district and has submitted a concept plan. The MU district standards are summarized in the table below. Assume 1 acre = 43,560 square feet.",,"The city wants binding assurance that the developer will construct the public plaza and complete the affordable units in phase one, in exchange for vesting the approved density for 10 years. The appropriate instrument is:",A conditional use permit,A development agreement,A planned unit development ordinance with no schedule attached,A letter of intent from the developer,B,"A development agreement is a negotiated contract that binds both parties, commonly exchanging vested rights and a fixed regulatory framework for specified public commitments and phasing.",A conditional use permit imposes conditions but does not vest the developer's rights for a defined term.,"A development agreement is a negotiated contract that binds both parties, commonly exchanging vested rights and a fixed regulatory framework for specified public commitments and phasing.",A PUD without phasing commitments provides no enforceable schedule.,A letter of intent is not enforceable.,APA Content Outline 5.6; development agreements,implementation/development-agreements,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
12,D9-01,DIAG-1.0,9,AICP Code of Ethics and Professional Conduct,9.4 Upholding the rules of conduct (conflicts of interest),ethics_case,application,,,,,"Dana is a current planner in a city planning department. A developer with an application pending before the department retains Dana, on evenings and weekends, to prepare a market study for a project in a neighboring county and pays her a fee. Dana does not disclose the arrangement.",Definitely violates the AICP Code of Ethics and Professional Conduct,Possibly violates the AICP Code of Ethics and Professional Conduct,Does not violate the AICP Code of Ethics and Professional Conduct,Insufficient information to respond,A,"The rules of conduct bar public employees from accepting compensation from anyone other than their public employer where it may be perceived as related to their public office. Payment from an applicant with a pending matter is precisely that, and the failure to disclose compounds it.","The rules of conduct bar public employees from accepting compensation from anyone other than their public employer where it may be perceived as related to their public office. Payment from an applicant with a pending matter is precisely that, and the failure to disclose compounds it.",This is not a borderline case; the payment comes from a party with business before the planner's own agency.,The arrangement falls squarely within the conflict-of-interest rules.,The facts given are sufficient to identify the violation.,"AICP Code of Ethics and Professional Conduct (2022), Rules of Conduct",ethics/conflicts-of-interest,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
13,D3-01,DIAG-1.0,3,Communication and Interaction,3.9 Outreach strategies and techniques,single,application,S-CORRIDOR,1,"You are the lead planner for a corridor plan covering a neighborhood that is 62 percent Spanish-speaking, has a high share of renters and shift workers, and has a long history of having a state highway widened through it. The city has held two weeknight open houses at city hall, each drawing fewer than 20 attendees, most of them from outside the study area. The council has asked you to fix the engagement before the draft plan is released.",,Which action is most likely to produce meaningful participation from residents of the study area?,Repeat the open house format with better graphic displays and more advance notice,Extend the written comment period by 30 days and publish the notice in the newspaper of record,Convene a technical advisory committee of agency staff to represent neighborhood interests,"Hold sessions at times and places residents already gather, with interpretation, childcare, and food, in partnership with trusted community organizations",D,"Going to where people already are, removing the practical barriers of language, childcare, and timing, and working through organizations residents already trust addresses the actual reasons for non-participation.","Better graphics do not remove language, transportation, childcare, or shift-work barriers.",A longer comment period advantages those already following the process.,Agency staff cannot represent residents; this substitutes proxies for the affected public.,"Going to where people already are, removing the practical barriers of language, childcare, and timing, and working through organizations residents already trust addresses the actual reasons for non-participation.",APA Content Outline 3.9,engagement/outreach-strategies,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
14,D3-02,DIAG-1.0,3,Communication and Interaction,3.2 Nondiscriminatory and accessible electronic media,negative,application,S-CORRIDOR,2,"You are the lead planner for a corridor plan covering a neighborhood that is 62 percent Spanish-speaking, has a high share of renters and shift workers, and has a long history of having a state highway widened through it. The city has held two weeknight open houses at city hall, each drawing fewer than 20 attendees, most of them from outside the study area. The council has asked you to fix the engagement before the draft plan is released.",,The city is rebuilding the project website. All of the following improve accessibility for this audience EXCEPT:,Posting the existing scanned map exhibits as flattened image PDFs so formatting is preserved,"Providing full Spanish translation of the site, including the comment form",Adding alternative text to images and ensuring the site is navigable by keyboard alone,Offering a mobile-friendly comment form that does not require creating an account,A,"A flattened scanned image PDF contains no machine-readable text, so screen readers cannot interpret it and it is effectively unavailable to users with visual disabilities. Preserving formatting does not justify the barrier.","A flattened scanned image PDF contains no machine-readable text, so screen readers cannot interpret it and it is effectively unavailable to users with visual disabilities. Preserving formatting does not justify the barrier.","Full translation, including the interactive element, directly serves this population.",Alt text and keyboard navigability are core accessibility practices.,"Removing account requirements lowers a real participation barrier, especially on mobile.",APA Content Outline 3.2; WCAG accessibility principles,engagement/digital-accessibility,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
15,D3-03,DIAG-1.0,3,Communication and Interaction,3.10 Evaluation of outreach strategy,single,analysis,S-CORRIDOR,3,"You are the lead planner for a corridor plan covering a neighborhood that is 62 percent Spanish-speaking, has a high share of renters and shift workers, and has a long history of having a state highway widened through it. The city has held two weeknight open houses at city hall, each drawing fewer than 20 attendees, most of them from outside the study area. The council has asked you to fix the engagement before the draft plan is released.",,"Six months later, the council asks whether the revised outreach worked. The most meaningful evaluation measure is:",Total number of participants across all events compared with the previous effort,The demographic profile of participants compared with the demographic profile of the study area,Number of website page views and social media impressions,Whether the final plan was adopted unanimously,B,"The stated problem was who was participating, not how many. Comparing participant characteristics against the population of the study area directly tests whether the gap closed.",Raw counts can rise while the same unrepresentative group participates more.,"The stated problem was who was participating, not how many. Comparing participant characteristics against the population of the study area directly tests whether the gap closed.","Impressions measure reach of a message, not participation by the target population.",Unanimous adoption may reflect the absence of the very voices you were trying to reach.,APA Content Outline 3.10,engagement/evaluating-outreach,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
16,D6-01,DIAG-1.0,6,Administration and Management,6.1 Project or program management,single,recall,,,,,A planning department needs a consultant for a comprehensive plan update but has not settled on the methodology or the engagement approach. The appropriate first procurement step is to issue:,"A request for proposals specifying deliverables, schedule, and a not-to-exceed price","An invitation for bids, awarding to the lowest responsive bidder","A request for qualifications, to shortlist firms on experience and capability before scoping the work",A sole-source justification for the firm that prepared the last plan,C,An RFQ evaluates firms on qualifications when the scope is not yet fixed. A shortlist can then be engaged in a second step to define scope and price.,An RFP requires a defined scope to produce comparable proposals.,"Low-bid procurement suits well-specified commodities, not professional services with undefined scope.",An RFQ evaluates firms on qualifications when the scope is not yet fixed. A shortlist can then be engaged in a second step to define scope and price.,Sole-source procurement requires a justification that convenience does not supply.,APA Content Outline 6.1; RFQ vs RFP,administration/procurement,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
17,D7-01,DIAG-1.0,7,Leadership,7.2 Ethical aspects of advocacy,single,analysis,,,,,A planner working for a nonprofit advocates publicly for a specific affordable housing proposal. The advocacy is consistent with professional obligations as long as the planner:,Identifies the interest being represented and does not misrepresent facts or suppress information the public needs to judge the proposal,"Presents only the evidence favorable to the proposal, since advocacy requires a consistent message","Refrains from advocacy altogether, because planners must remain neutral",Obtains permission from the local APA chapter before speaking publicly,A,Planners may advocate for a client or cause. What the profession requires is transparency about whose interest is represented and accuracy in the information provided.,Planners may advocate for a client or cause. What the profession requires is transparency about whose interest is represented and accuracy in the information provided.,Suppressing contrary evidence misrepresents the analysis.,Advocacy is an accepted role; neutrality is not required of all planners in all settings.,No chapter permission requirement exists.,APA Content Outline 7.2; AICP Code Principles A and B,leadership/advocacy-ethics,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
18,D2-02,DIAG-1.0,2,Fundamental Planning Knowledge,2.3 Foundational legal principles,single,application,,,,,"A city conditions approval of a commercial building permit on the dedication of a public trail easement across the property. Under Nollan and Dolan, the city must demonstrate:",That the exaction serves a legitimate public purpose and nothing more,"An essential nexus between the condition and the impact of the development, and rough proportionality between the condition and that impact",That the property owner consented to the condition in writing,That the value of the easement does not exceed 10 percent of project cost,B,"Nollan supplies the essential nexus requirement and Dolan supplies rough proportionality, requiring an individualized determination that the exaction is related and roughly proportional to the development's impact.",A legitimate purpose alone is insufficient once an exaction is imposed on an individual permit.,"Nollan supplies the essential nexus requirement and Dolan supplies rough proportionality, requiring an individualized determination that the exaction is related and roughly proportional to the development's impact.",Consent obtained under permit pressure does not cure an unconstitutional condition.,No fixed percentage test exists; the standard is proportionality to impact.,Nollan v. California Coastal Commission (1987); Dolan v. City of Tigard (1994),planning-law/exactions,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
19,D8-02,DIAG-1.0,8,Areas of Practice,8.11 Housing planning,single,application,,,,,"A city adopts an ordinance requiring that 12 percent of units in projects over 50 units be affordable at 60 percent of area median income, and offers a 20 percent density increase to offset the cost. The density increase functions as:",An inclusionary requirement,A cost offset intended to preserve project feasibility and strengthen the program's legal footing,A form of impact fee,A transfer of development rights,B,"The affordability requirement is the inclusionary mandate; the density bonus is the offset, which both maintains feasibility and helps rebut claims that the requirement is confiscatory.","The inclusionary requirement is the 12 percent set-aside, not the bonus.","The affordability requirement is the inclusionary mandate; the density bonus is the offset, which both maintains feasibility and helps rebut claims that the requirement is confiscatory.",An impact fee is a monetary exaction tied to infrastructure demand.,TDR involves severing and transferring rights between parcels.,Inclusionary housing program design,housing/inclusionary-zoning,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
20,D4-02,DIAG-1.0,4,Plan and Policy Development,"4.5 Vision, goal, objective, policy, and priority statements",single,recall,,,,,'Increase the share of residents living within a 10-minute walk of a park from 52 percent to 75 percent by 2035' is best classified as a:,Objective,Goal,Vision statement,Implementation action,A,"An objective is a measurable, time-bound step toward a goal. The statement specifies a metric, a baseline, a target, and a horizon year.","An objective is a measurable, time-bound step toward a goal. The statement specifies a metric, a baseline, a target, and a horizon year.",A goal states a general desired end condition without a metric or deadline.,A vision describes the community's aspirational future state in qualitative terms.,"An action names a specific task and responsible party, such as acquiring a particular parcel.",APA Content Outline 4.5,plan-making/goals-objectives-policies,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
21,D1-05,DIAG-1.0,1,Research and Assessment Methods,1.2 Data and source interpretation and evaluation,exhibit,application,,,,"| Industry | Local share of local employment | National share of national employment |
|---|---|---|
| Manufacturing | 8% | 10% |
| Health care | 14% | 13% |
| Accommodation and food service | 12% | 8% |
| Finance and insurance | 4% | 6% |","Using the location quotient method, which industries would an economic planner assign to the region's basic (export) sector?",Manufacturing and finance and insurance,Accommodation and food service only,Manufacturing only,Health care and accommodation and food service,D,"LQ = local share / national share. Health care is 14/13 = 1.08 and accommodation and food service is 12/8 = 1.50. Both exceed 1.0, indicating production beyond local demand and therefore export activity. Manufacturing (0.80) and finance (0.67) are below 1.0.","Both of these have LQs below 1.0, indicating the region imports these services.","Health care also exceeds 1.0, though by a smaller margin.",Manufacturing's LQ of 0.80 places it in the non-basic sector here.,"LQ = local share / national share. Health care is 14/13 = 1.08 and accommodation and food service is 12/8 = 1.50. Both exceed 1.0, indicating production beyond local demand and therefore export activity. Manufacturing (0.80) and finance (0.67) are below 1.0.",Economic base analysis; location quotient,economic-development/location-quotient,TRUE,TRUE,review,All Aboard Planning,,2026-09-14
22,D5-05,DIAG-1.0,5,Plan Implementation,5.1 Develop and interpret rules and regulations,single,recall,,,,,"A lawfully established use that does not comply with a newly adopted zoning ordinance is a nonconforming use. A jurisdiction that wishes to end such uses over time, without paying compensation, would typically use:",A moratorium,Inverse condemnation,Amortization over a period reasonably related to recovery of the owner's investment,A variance,C,"Amortization allows a nonconforming use to continue for a defined period thought sufficient to recoup investment, after which it must cease. Its availability and the reasonableness of the period vary by state.",A moratorium pauses new approvals; it does not terminate existing uses.,"Inverse condemnation is an owner's claim against the government, not a municipal tool.","Amortization allows a nonconforming use to continue for a defined period thought sufficient to recoup investment, after which it must cease. Its availability and the reasonableness of the period vary by state.",A variance authorizes deviation from a standard; it does not eliminate a use.,Nonconforming uses and amortization,zoning/nonconforming-uses,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
23,D9-02,DIAG-1.0,9,AICP Code of Ethics and Professional Conduct,9.4 Upholding the rules of conduct (conflicts of interest),ethics_case,application,,,,,"Marcus is a senior planner assigned to review a site plan submitted by a firm in which his spouse is a principal. On learning of the assignment, Marcus immediately discloses the relationship in writing to his director, recuses himself, and the review is reassigned to another planner with no involvement by Marcus.",Definitely violates the AICP Code of Ethics and Professional Conduct,Possibly violates the AICP Code of Ethics and Professional Conduct,Does not violate the AICP Code of Ethics and Professional Conduct,Insufficient information to respond,C,Prompt written disclosure followed by genuine recusal is the prescribed response to a conflict. The existence of a conflict is not itself a violation; participating in the matter despite it would be.,Nothing here involves participation in the matter after the conflict was known.,The planner took exactly the steps the Code contemplates.,Prompt written disclosure followed by genuine recusal is the prescribed response to a conflict. The existence of a conflict is not itself a violation; participating in the matter despite it would be.,"The facts describe the disclosure, the recusal, and the reassignment, which is sufficient.","AICP Code of Ethics and Professional Conduct (2022), Rules of Conduct",ethics/disclosure-and-recusal,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
24,D3-04,DIAG-1.0,3,Communication and Interaction,3.6 Culturally appropriate communication,single,recall,,,,,"On Sherry Arnstein's ladder of citizen participation, an agency that holds a hearing, records comments, and retains complete discretion over the outcome is operating at the level of:",Citizen control,Delegated power,Consultation,Manipulation,C,Consultation involves soliciting opinion with no assurance it will affect decisions. Arnstein groups it with informing and placation as degrees of tokenism.,Citizen control places decision authority with residents.,Delegated power gives participants dominant decision authority over a program.,Consultation involves soliciting opinion with no assurance it will affect decisions. Arnstein groups it with informing and placation as degrees of tokenism.,"Manipulation involves using participants to manufacture support, which is not described here.","Arnstein, A Ladder of Citizen Participation (1969)",engagement/arnstein-ladder,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
25,D6-02,DIAG-1.0,6,Administration and Management,6.1 Project or program management,exhibit,analysis,,,,"| Task | Duration (weeks) | Predecessor |
|---|---|---|
| A. Scoping | 4 | None |
| B. Data collection | 6 | A |
| C. Public workshops | 5 | A |
| D. Draft plan | 8 | B and C |
| E. Adoption hearings | 3 | D |","Based on the schedule above, what is the minimum time from project start to completion of adoption hearings?",18 weeks,20 weeks,21 weeks,26 weeks,C,"Task D cannot begin until both B and C finish. The longest path is A(4) + B(6) + D(8) + E(3) = 21 weeks. The path through C totals 20 weeks, so C carries one week of float.",This omits a task from the critical path.,"This follows the path through C, which is not the longest path.","Task D cannot begin until both B and C finish. The longest path is A(4) + B(6) + D(8) + E(3) = 21 weeks. The path through C totals 20 weeks, so C carries one week of float.","This sums all durations, treating concurrent tasks B and C as sequential.",Critical path method,administration/critical-path,TRUE,TRUE,review,All Aboard Planning,,2026-09-14
26,D7-02,DIAG-1.0,7,Leadership,7.5 Institutional structures and accountability,single,application,,,,,A council rejects the staff recommendation and adopts a rezoning that the planner analyzed as inconsistent with the adopted plan. The planner's appropriate course is to:,Publicly state that the council acted improperly and request reconsideration,"Ensure the record accurately reflects the analysis and the decision, implement the decision, and recommend a plan amendment if the council's policy direction has genuinely changed",Refuse to process the implementing paperwork,"Resign, since continuing to serve implies agreement",B,"Elected officials make policy; planners ensure the record is accurate and then implement. If the decision signals a real policy shift, the correct professional response is to reconcile the plan with it through amendment.",Public attack on a lawful legislative decision exceeds the planner's role.,"Elected officials make policy; planners ensure the record is accurate and then implement. If the decision signals a real policy shift, the correct professional response is to reconcile the plan with it through amendment.","Refusing to implement a lawful decision is insubordination, not professional judgment.",Resignation is reserved for situations requiring participation in something improper.,APA Content Outline 7.5; planner and elected official roles,leadership/role-of-planner,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
27,D2-03,DIAG-1.0,2,Fundamental Planning Knowledge,2.3 Foundational legal principles,single,recall,,,,,"The Standard State Zoning Enabling Act, first circulated in the 1920s, is significant primarily because it:",Created a federal zoning code applicable in all states,Required every municipality to prepare a housing element,Established the first national building code,"Provided a model delegating the state's police power to local governments to zone, which most states adopted in some form",D,"Zoning authority flows from the state police power. The SZEA supplied a model statute for delegating that authority to localities, and its structure, including the board of adjustment, still shapes most state zoning law.",There is no federal zoning code; zoning is a state and local power.,Housing element requirements come from later state statutes in a minority of states.,Building codes developed separately through model code organizations.,"Zoning authority flows from the state police power. The SZEA supplied a model statute for delegating that authority to localities, and its structure, including the board of adjustment, still shapes most state zoning law.","Standard State Zoning Enabling Act (U.S. Dept. of Commerce, 1920s)",planning-law/enabling-acts,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
